Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
KNN,0.9736842105263158,0.96,1.0,0.9795918367346939,0.9884259259259259
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9932208994708995
Naive Bayes,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9867724867724867
Decision Tree,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9156746031746031
